InputSize	GroupSize	Distribution	resultSize	PSTime	Variant	Intent	localSize	Aggregate	AggTime
18	0	0	1	1.46125e+06	0	1	1	262144	646246	0
18	0	0	1	1.46125e+06	0	1	2	262144	333312	0
18	0	0	1	1.46125e+06	0	1	3	262144	214938	0
18	0	0	1	1.46125e+06	0	1	4	262144	213094	0
18	0	0	1	1.46125e+06	0	1	5	262144	212378	0
18	0	0	1	1.46125e+06	0	1	6	262144	212787	0
18	0	0	1	1.46125e+06	0	1	7	262144	213402	0
18	0	0	1	1.46125e+06	0	1	8	262144	212685	0
18	0	0	1	1.46125e+06	0	1	9	262144	212275	0
18	0	0	1	1.46125e+06	0	1	10	262144	212378	0
18	0	0	1	1.46125e+06	1	2	1	262144	386458	0
18	0	0	1	1.46125e+06	1	2	2	262144	220365	0
18	0	0	1	1.46125e+06	1	2	3	262144	218726	0
18	0	0	1	1.46125e+06	1	2	4	262144	214630	0
18	0	0	1	1.46125e+06	1	2	5	262144	215450	0
18	0	0	1	1.46125e+06	1	2	6	262144	215450	0
18	0	0	1	1.46125e+06	1	2	7	262144	215450	0
18	0	0	1	1.46125e+06	1	2	8	262144	214323	0
18	0	0	1	1.46125e+06	1	2	9	262144	211149	0
18	0	0	1	1.46125e+06	1	2	10	262144	213914	0
18	0	0	1	1.46125e+06	1	4	1	262144	258355	0
18	0	0	1	1.46125e+06	1	4	2	262144	222003	0
18	0	0	1	1.46125e+06	1	4	3	262144	219955	0
18	0	0	1	1.46125e+06	1	4	4	262144	217498	0
18	0	0	1	1.46125e+06	1	4	5	262144	218317	0
18	0	0	1	1.46125e+06	1	4	6	262144	215245	0
18	0	0	1	1.46125e+06	1	4	7	262144	217907	0
18	0	0	1	1.46125e+06	1	4	8	262144	218010	0
18	0	0	1	1.46125e+06	1	4	9	262144	225485	0
18	0	0	1	1.46125e+06	1	4	10	262144	217907	0
18	0	0	1	1.46125e+06	1	8	1	262144	232448	0
18	0	0	1	1.46125e+06	1	8	2	262144	221901	0
18	0	0	1	1.46125e+06	1	8	3	262144	217702	0
18	0	0	1	1.46125e+06	1	8	4	262144	219443	0
18	0	0	1	1.46125e+06	1	8	5	262144	221082	0
18	0	0	1	1.46125e+06	1	8	6	262144	220160	0
18	0	0	1	1.46125e+06	1	8	7	262144	219750	0
18	0	0	1	1.46125e+06	1	8	8	262144	220979	0
18	0	0	1	1.46125e+06	1	8	9	262144	218317	0
18	0	0	1	1.46125e+06	1	8	10	262144	219546	0
18	0	0	1	1.46125e+06	1	16	1	262144	231629	0
18	0	0	1	1.46125e+06	1	16	2	262144	225178	0
18	0	0	1	1.46125e+06	1	16	3	262144	225690	0
18	0	0	1	1.46125e+06	1	16	4	262144	224666	0
18	0	0	1	1.46125e+06	1	16	5	262144	222720	0
18	0	0	1	1.46125e+06	1	16	6	262144	225690	0
18	0	0	1	1.46125e+06	1	16	7	262144	223130	0
18	0	0	1	1.46125e+06	1	16	8	262144	225485	0
18	0	0	1	1.46125e+06	1	16	9	262144	226714	0
