InputSize	GroupSize	Distribution	resultSize	PSTime	Variant	Intent	localSize	Aggregate	AggTime
24	0	0	16777216	3.67026e+09	0	0	0	1	7.29834e+07
24	0	0	16777216	3.67026e+09	0	0	1	1	3.74608e+07
24	0	0	16777216	3.67026e+09	0	0	2	1	1.86049e+07
24	0	0	16777216	3.67026e+09	0	0	3	1	9.50661e+06
24	0	0	16777216	3.67026e+09	0	0	4	1	4.68818e+06
24	0	0	16777216	3.67026e+09	0	0	5	1	2.42166e+06
24	0	0	16777216	3.67026e+09	0	0	6	1	2.05066e+06
24	0	0	16777216	3.67026e+09	0	0	7	1	2.0522e+06
24	0	0	16777216	3.67026e+09	0	0	8	1	2.04923e+06
24	0	0	16777216	3.67026e+09	0	0	9	1	2.04339e+06
24	0	0	16777216	3.67026e+09	0	0	10	1	2.05015e+06
24	0	0	16777216	3.67026e+09	0	0	0	1	7.23966e+07
24	0	0	16777216	3.67026e+09	0	0	1	1	3.62611e+07
24	0	0	16777216	3.67026e+09	0	0	2	1	1.81068e+07
24	0	0	16777216	3.67026e+09	0	0	3	1	9.14729e+06
24	0	0	16777216	3.67026e+09	0	0	4	1	4.74153e+06
24	0	0	16777216	3.67026e+09	0	0	5	1	2.55109e+06
24	0	0	16777216	3.67026e+09	0	0	6	1	2.048e+06
24	0	0	16777216	3.67026e+09	0	0	7	1	2.05476e+06
24	0	0	16777216	3.67026e+09	0	0	8	1	2.04329e+06
24	0	0	16777216	3.67026e+09	0	0	9	1	2.05036e+06
24	0	0	16777216	3.67026e+09	0	0	10	1	2.04984e+06
24	0	0	16777216	3.67026e+09	0	0	0	1	7.37812e+07
24	0	0	16777216	3.67026e+09	0	0	1	1	3.73744e+07
24	0	0	16777216	3.67026e+09	0	0	2	1	1.86516e+07
24	0	0	16777216	3.67026e+09	0	0	3	1	9.49678e+06
24	0	0	16777216	3.67026e+09	0	0	4	1	4.68224e+06
24	0	0	16777216	3.67026e+09	0	0	5	1	2.4831e+06
24	0	0	16777216	3.67026e+09	0	0	6	1	2.05363e+06
24	0	0	16777216	3.67026e+09	0	0	7	1	2.05189e+06
24	0	0	16777216	3.67026e+09	0	0	8	1	2.05179e+06
24	0	0	16777216	3.67026e+09	0	0	9	1	2.05036e+06
24	0	0	16777216	3.67026e+09	0	0	10	1	2.04759e+06
24	0	0	16777216	3.67026e+09	0	0	0	1	7.50493e+07
24	0	0	16777216	3.67026e+09	0	0	1	1	3.74502e+07
24	0	0	16777216	3.67026e+09	0	0	2	1	1.86498e+07
24	0	0	16777216	3.67026e+09	0	0	3	1	9.51419e+06
24	0	0	16777216	3.67026e+09	0	0	4	1	4.8596e+06
24	0	0	16777216	3.67026e+09	0	0	5	1	2.52928e+06
24	0	0	16777216	3.67026e+09	0	0	6	1	2.04861e+06
24	0	0	16777216	3.67026e+09	0	0	7	1	2.04585e+06
24	0	0	16777216	3.67026e+09	0	0	8	1	2.04964e+06
24	0	0	16777216	3.67026e+09	0	0	9	1	2.04995e+06
24	0	0	16777216	3.67026e+09	0	0	10	1	2.04964e+06
24	0	0	16777216	3.67026e+09	0	0	0	1	7.24543e+07
24	0	0	16777216	3.67026e+09	0	0	1	1	3.62307e+07
24	0	0	16777216	3.67026e+09	0	0	2	1	1.80308e+07
24	0	0	16777216	3.67026e+09	0	0	3	1	9.15497e+06
24	0	0	16777216	3.67026e+09	0	0	4	1	4.65459e+06
24	0	0	16777216	3.67026e+09	0	0	5	1	2.42637e+06
24	0	0	16777216	3.67026e+09	0	0	6	1	2.04913e+06
24	0	0	16777216	3.67026e+09	0	0	7	1	2.04861e+06
24	0	0	16777216	3.67026e+09	0	0	8	1	2.04954e+06
24	0	0	16777216	3.67026e+09	0	0	9	1	2.04913e+06
24	0	0	16777216	3.67026e+09	0	0	10	1	2.04913e+06
24	0	0	16777216	3.67026e+09	0	0	0	1	7.25126e+07
24	0	0	16777216	3.67026e+09	0	0	1	1	3.62191e+07
24	0	0	16777216	3.67026e+09	0	0	2	1	1.80561e+07
24	0	0	16777216	3.67026e+09	0	0	3	1	9.15159e+06
24	0	0	16777216	3.67026e+09	0	0	4	1	4.70528e+06
24	0	0	16777216	3.67026e+09	0	0	5	1	2.47276e+06
24	0	0	16777216	3.67026e+09	0	0	6	1	2.0524e+06
24	0	0	16777216	3.67026e+09	0	0	7	1	2.04923e+06
24	0	0	16777216	3.67026e+09	0	0	8	1	2.05343e+06
24	0	0	16777216	3.67026e+09	0	0	9	1	2.05117e+06
24	0	0	16777216	3.67026e+09	0	0	10	1	2.05128e+06
24	0	0	16777216	3.67026e+09	0	0	0	1	7.25118e+07
24	0	0	16777216	3.67026e+09	0	0	1	1	3.60988e+07
24	0	0	16777216	3.67026e+09	0	0	2	1	1.81018e+07
24	0	0	16777216	3.67026e+09	0	0	3	1	9.23535e+06
24	0	0	16777216	3.67026e+09	0	0	4	1	4.71921e+06
24	0	0	16777216	3.67026e+09	0	0	5	1	2.4406e+06
24	0	0	16777216	3.67026e+09	0	0	6	1	2.05363e+06
24	0	0	16777216	3.67026e+09	0	0	7	1	2.05251e+06
24	0	0	16777216	3.67026e+09	0	0	8	1	2.05076e+06
24	0	0	16777216	3.67026e+09	0	0	9	1	2.04769e+06
24	0	0	16777216	3.67026e+09	0	0	10	1	2.05087e+06
24	0	0	16777216	3.67026e+09	0	0	0	1	7.2602e+07
