everything same											
InputSize	GroupSize	Distribution	resultSize	PSTime	Variant	Intent	localSize	Aggregate	AggTime	Throughput	log scale
11	11	0	1	197632	0	0	1024	2048	7034.88	3.435	12.780310099
12	12	0	1	172032	0	0	1024	4096	7976.96	1.9475	12.9616233283
13	13	0	1	175104	0	0	1024	8192	12441.9	1.5187866211	13.6029191955
14	14	0	1	207872	0	0	1024	16384	16005.1	0.9768737793	13.9662440704
15	15	0	1	270336	0	0	1024	32768	24882.9	0.7593658447	14.602867015
16	16	0	1	382976	0	0	1024	65536	45035.2	0.6871826172	15.458765448
17	17	0	1	624640	0	0	1024	131072	83578.9	0.6376564026	16.3508511507
18	18	0	1	1152000	0	0	1024	262144	161301	0.6153144836	17.2993958571
19	19	0	1	2477060	0	0	1024	524288	317317	0.6052341461	18.275565289
20	20	0	1	4669440	0	0	1024	1048576	629105	0.5999612808	19.2629413029
21	21	0	1	9046020	0	0	1024	2097152	1252870	0.5974149704	20.2568052952
22	22	0	1	17802200	0	0	1024	4194304	2500340	0.5961275101	21.2536928574
23	23	0	1	35336200	0	0	1024	8388608	4994840	0.5954313278	22.2520070341
24	24	0	1	70522900	0	0	1024	16777216	9984000	0.5950927734	23.2511865035
25	25	0	1	142704000	0	0	1024	33554432	20102100	0.5990892649	24.2608428871
26	26	0	1	298620000	0	0	1024	24584435	40199900	0.5990251899	25.2606885768
27	27	0	1	597257000	0	0	1024	6644441	80425600	0.5992174149	26.2611514581
28	28	0	1	1196820000	0	0	1024	13288883	160848000	0.5992054939	27.2611227566
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
everything unique											
InputSize	GroupSize	Distribution	resultSize	PSTime	Variant	Intent	localSize	Aggregate	AggTime	Throughput	log scale
11	0	0	2048	206848	0	0	1024	1	6277.12	3.065	12.6158870739
12	0	0	4096	194560	0	0	1024	1	6000.64	1.465	12.5509006646
13	0	0	8192	171008	0	0	1024	1	5939.2	0.725	12.5360529002
14	0	0	16384	227328	0	0	1024	1	4424	0.2700195313	12.1111356702
15	0	0	32768	268288	0	0	1024	1	7301.12	0.2228125	12.8339020767
16	0	0	65536	382976	0	0	1024	1	9461.76	0.144375	13.2078928516
17	0	0	131072	616448	0	0	1024	1	13977.6	0.106640625	13.770829046
18	0	0	262144	1156100	0	0	1024	1	37918.7	0.1446483612	15.2106218835
19	0	0	524288	2477060	0	0	1024	1	70441	0.134355545	16.1041277698
20	0	0	1048576	4666370	0	0	1024	1	132935	0.1267766953	17.0203614713
21	0	0	2097152	9047040	0	0	1024	1	261734	0.1248044968	17.9977418212
22	0	0	4194304	17800200	0	0	1024	1	517396	0.1233568192	18.980909375
23	0	0	8388608	35335200	0	0	1024	1	1027470	0.1224839687	19.9706648401
24	0	0	16777216	70524900	0	0	1024	1	2045380	0.1219141483	20.9639374678
25	0	0	33554432	141697000	0	0	1024	1	4087740	0.1218241453	21.9628720061
26	0	0	67108864	298614000	0	0	1024	1	8167240	0.1217013597	22.9614171922
27	0	0	134217728	597211000	0	0	1024	1	16328000	0.12165308	23.9608447517
28	0	0	268435456	1369100000	0	0	1024	1	32643200	0.1216053963	24.9602791553
											
											
											
InputSize	Same	Unique	Log-Same	Log-Unqiue							
11	12.780310099	12.6158870739	3.6758509369	3.6571697465							
12	12.9616233283	12.5509006646	3.6961745092	3.649718992							
13	13.6029191955	12.5360529002	3.7658443829	3.6480112678							
14	13.9662440704	12.1111356702	3.8038721851	3.5982622489							
15	14.602867015	12.8339020767	3.8681797395	3.6818879754							
16	15.458765448	13.2078928516	3.9503532037	3.7233284165							
17	16.3508511507	13.770829046	4.0312938327	3.7835435116							
18	17.2993958571	15.2106218835	4.1126497507	3.9270072335							
19	18.275565289	16.1041277698	4.1918441263	4.0093586186							
20	19.2629413029	17.0203614713	4.2677561033	4.0891897716							
21	20.2568052952	17.9977418212	4.3403347592	4.1697439977							
22	21.2536928574	18.980909375	4.4096416281	4.2464772084							
23	22.2520070341	19.9706648401	4.4758635616	4.319810457							
24	23.2511865035	20.9639374678	4.5392324334	4.3898378056							
25	24.2608428871	21.9628720061	4.6005577693	4.4569948176							
26	25.2606885768	22.9614171922	4.6588220607	4.5211397836							
27	26.2611514581	23.9608447517	4.7148582696	4.5826068669							
28	27.2611227566	24.9602791553	4.768773076	4.6415621643							
