InputSize,GroupSize,Distribution,resultSize,PSTime,Variant,Intent,localSize,Aggregate,AggTime
17,17,0,1,800768,0,1,1,131072,451308
17,17,0,1,800768,0,1,2,131072,232294
17,17,0,1,800768,0,1,3,131072,123095
17,17,0,1,800768,0,1,4,131072,58050.6
17,17,0,1,800768,0,1,5,131072,35757.8
17,17,0,1,800768,0,1,6,131100,29491.2
17,17,0,1,800768,0,1,7,131155,28426.2
17,17,0,1,800768,0,1,8,131069,28753.6
17,17,0,1,800768,0,1,9,131067,30054.4
17,17,0,1,800768,0,1,10,131069,33290.2
17,17,0,1,800768,1,2,1,131072,215235
17,17,0,1,800768,1,2,2,131072,108247
17,17,0,1,800768,1,2,3,131072,43837.4
17,17,0,1,800768,1,2,4,131072,30607.4
17,17,0,1,800768,1,2,5,131072,27668.5
17,17,0,1,800768,1,2,6,131483,27002.9
17,17,0,1,800768,1,2,7,131064,23869.4
17,17,0,1,800768,1,2,8,131058,25631
17,17,0,1,800768,1,2,9,131052,25815
17,17,0,1,800768,1,2,10,131072,29614.1
17,17,0,1,800768,1,4,1,131072,119767
17,17,0,1,800768,1,4,2,131072,44872
17,17,0,1,800768,1,4,3,131072,31805.4
17,17,0,1,800768,1,4,4,131072,27320.3
17,17,0,1,800768,1,4,5,131072,27566.1
17,17,0,1,800768,1,4,6,130961,25190.7
17,17,0,1,800768,1,4,7,131080,24248.3
17,17,0,1,800768,1,4,8,131070,27136
17,17,0,1,800768,1,4,9,131070,25026.6
17,17,0,1,800768,1,4,10,131072,29399
17,17,0,1,800768,1,8,1,131072,49274.9
17,17,0,1,800768,1,8,2,131072,32829.4
17,17,0,1,800768,1,8,3,131072,28129.3
17,17,0,1,800768,1,8,4,131072,27320.3
17,17,0,1,800768,1,8,5,131072,26060.8
17,17,0,1,800768,1,8,6,131119,27136
17,17,0,1,800768,1,8,7,131098,25108.5
17,17,0,1,800768,1,8,8,131188,26368
17,17,0,1,800768,1,8,9,131475,25723.2
17,17,0,1,800768,1,8,10,131148,25118.7
17,17,0,1,800768,1,16,1,131072,34570.2
17,17,0,1,800768,1,16,2,131072,27566.1
17,17,0,1,800768,1,16,3,131072,23377.6
17,17,0,1,800768,1,16,4,131072,24043.8
17,17,0,1,800768,1,16,5,131072,24965.8
17,17,0,1,800768,1,16,6,131072,22507.5
17,17,0,1,800768,1,16,7,131072,22948.2
17,17,0,1,800768,1,16,8,131112,26921
17,17,0,1,800768,1,16,9,131072,26276.2
17,17,0,1,800768,1,16,10,0,0
17,17,0,1,800768,1,32,1,131072,33187.8
17,17,0,1,800768,1,32,2,131072,26102.1
17,17,0,1,800768,1,32,3,131072,24412.5
17,17,0,1,800768,1,32,4,131072,29614.1
17,17,0,1,800768,1,32,5,131072,25169.6
17,17,0,1,800768,1,32,6,131072,25148.8
17,17,0,1,800768,1,32,7,131072,24729.6
17,17,0,1,800768,1,32,8,131072,25323.5
17,17,0,1,800768,1,32,9,0,0
17,17,0,1,800768,1,32,10,0,0
17,17,0,1,800768,1,64,1,131072,33290.2
17,17,0,1,800768,1,64,2,131072,27412.8
17,17,0,1,800768,1,64,3,131072,22251.5
17,17,0,1,800768,1,64,4,131072,22579.5
17,17,0,1,800768,1,64,5,131072,26890.2
17,17,0,1,800768,1,64,6,131072,30638.1
17,17,0,1,800768,1,64,7,131072,29490.6
17,17,0,1,800768,1,64,8,0,0
17,17,0,1,800768,1,64,9,0,0
17,17,0,1,800768,1,64,10,0,0
17,17,0,1,800768,1,128,1,131072,39905.3
17,17,0,1,800768,1,128,2,131072,30997.1
17,17,0,1,800768,1,128,3,131072,28108.8
17,17,0,1,800768,1,128,4,131072,26378.2
17,17,0,1,800768,1,128,5,131072,36894.4
17,17,0,1,800768,1,128,6,131072,36444.2
17,17,0,1,800768,1,128,7,0,0
17,17,0,1,800768,1,128,8,0,0
17,17,0,1,800768,1,128,9,0,0
17,17,0,1,800768,1,128,10,0,0
17,17,0,1,800768,1,256,1,131072,40448
17,17,0,1,800768,1,256,2,131072,32337.9
17,17,0,1,800768,1,256,3,131072,28344
17,17,0,1,800768,1,256,4,131072,41779.5
17,17,0,1,800768,1,256,5,131072,59279.4
17,17,0,1,800768,1,256,6,0,0
17,17,0,1,800768,1,256,7,0,0
17,17,0,1,800768,1,256,8,0,0
17,17,0,1,800768,1,256,9,0,0
17,17,0,1,800768,1,512,1,131072,40898.6
17,17,0,1,800768,1,512,2,131072,35809.3
17,17,0,1,800768,1,512,3,131072,48896
17,17,0,1,800768,1,512,4,131072,76544
17,17,0,1,800768,1,512,5,0,0
17,17,0,1,800768,1,512,6,0,0
17,17,0,1,800768,1,512,7,0,0
17,17,0,1,800768,1,512,8,0,0
17,17,0,1,800768,2,2,1,131072,236770
17,17,0,1,800768,2,2,2,131072,121160
17,17,0,1,800768,2,2,3,131072,63979.2
17,17,0,1,800768,2,2,4,131072,29388.8
17,17,0,1,800768,2,2,5,131072,25088
17,17,0,1,800768,2,2,6,131103,17858.6
17,17,0,1,800768,2,2,7,131073,17653.8
17,17,0,1,800768,2,2,8,131070,18329.6
17,17,0,1,800768,2,2,9,131070,18391
17,17,0,1,800768,2,2,10,131072,21022.7
17,17,0,1,800768,2,4,1,131072,151981
17,17,0,1,800768,2,4,2,131072,79585.3
17,17,0,1,800768,2,4,3,131072,43581.4
17,17,0,1,800768,2,4,4,131072,22773.8
17,17,0,1,800768,2,4,5,131072,16312.3
17,17,0,1,800768,2,4,6,131072,15380.2
17,17,0,1,800768,2,4,7,131072,15042.6
17,17,0,1,800768,2,4,8,131072,15882.2
17,17,0,1,800768,2,4,9,131072,20725.8
17,17,0,1,800768,2,4,10,131072,17489.9
17,17,0,1,800768,2,8,1,131072,106291
17,17,0,1,800768,2,8,2,131072,57651.2
17,17,0,1,800768,2,8,3,131072,32727.4
17,17,0,1,800768,2,8,4,131072,20899.8
17,17,0,1,800768,2,8,5,131072,18739.2
17,17,0,1,800768,2,8,6,131072,21125.1
17,17,0,1,800768,2,8,7,131072,33177.6
17,17,0,1,800768,2,8,8,131072,18380.8
17,17,0,1,800768,2,8,9,131072,19599.4
17,17,0,1,800768,2,8,10,131072,20029.1
17,17,0,1,800768,2,16,1,131072,88453.1
17,17,0,1,800768,2,16,2,131072,48250.9
17,17,0,1,800768,2,16,3,131072,30392.3
17,17,0,1,800768,2,16,4,131072,20603.2
17,17,0,1,800768,2,16,5,131072,19773.4
17,17,0,1,800768,2,16,6,131072,18473
17,17,0,1,800768,2,16,7,131072,17233.9
17,17,0,1,800768,2,16,8,131072,20746.2
17,17,0,1,800768,2,16,9,131072,22251.5
17,17,0,1,800768,2,16,10,0,0
17,17,0,1,800768,2,32,1,131072,97413.1
17,17,0,1,800768,2,32,2,131072,57722.9
17,17,0,1,800768,2,32,3,131072,38502.4
17,17,0,1,800768,2,32,4,131072,39475.2
17,17,0,1,800768,2,32,5,131072,34949.1
17,17,0,1,800768,2,32,6,131072,34437.1
17,17,0,1,800768,2,32,7,131072,41328.6
17,17,0,1,800768,2,32,8,131072,41789.4
17,17,0,1,800768,2,32,9,0,0
17,17,0,1,800768,2,32,10,0,0
17,17,0,1,800768,2,64,1,131072,91648
17,17,0,1,800768,2,64,2,131072,52162.6
17,17,0,1,800768,2,64,3,131072,43028.8
17,17,0,1,800768,2,64,4,131072,35911.7
17,17,0,1,800768,2,64,5,131072,34989.8
17,17,0,1,800768,2,64,6,131072,46090.2
17,17,0,1,800768,2,64,7,131072,43110.4
17,17,0,1,800768,2,64,8,0,0
17,17,0,1,800768,2,64,9,0,0
17,17,0,1,800768,2,64,10,0,0
17,17,0,1,800768,2,128,1,131072,103025
17,17,0,1,800768,2,128,2,131072,72960
17,17,0,1,800768,2,128,3,131072,44984.6
17,17,0,1,800768,2,128,4,131072,43806.7
17,17,0,1,800768,2,128,5,131072,81602.6
17,17,0,1,800768,2,128,6,131072,81182.7
17,17,0,1,800768,2,128,7,0,0
17,17,0,1,800768,2,128,8,0,0
17,17,0,1,800768,2,128,9,0,0
17,17,0,1,800768,2,128,10,0,0
17,17,0,1,800768,2,256,1,131072,119910
17,17,0,1,800768,2,256,2,131072,72519.7
17,17,0,1,800768,2,256,3,131072,66703.7
17,17,0,1,800768,2,256,4,131072,123095
17,17,0,1,800768,2,256,5,131072,136428
17,17,0,1,800768,2,256,6,0,0
17,17,0,1,800768,2,256,7,0,0
17,17,0,1,800768,2,256,8,0,0
17,17,0,1,800768,2,256,9,0,0
17,17,0,1,800768,2,512,1,131072,123023
17,17,0,1,800768,2,512,2,131072,120873
17,17,0,1,800768,2,512,3,131072,223160
17,17,0,1,800768,2,512,4,131072,240957
17,17,0,1,800768,2,512,5,0,0
17,17,0,1,800768,2,512,6,0,0
17,17,0,1,800768,2,512,7,0,0
17,17,0,1,800768,2,512,8,0,0
17,17,0,1,800768,3,2,1,131072,235612
17,17,0,1,800768,3,2,2,131072,123167
17,17,0,1,800768,3,2,3,131072,64471
17,17,0,1,800768,3,2,4,131072,33996.8
17,17,0,1,800768,3,2,5,131072,23132.8
17,17,0,1,800768,3,2,6,131169,18974.7
17,17,0,1,800768,3,2,7,131060,19005.4
17,17,0,1,800768,3,2,8,131063,19148.8
17,17,0,1,800768,3,2,9,131072,20776.6
17,17,0,1,800768,3,2,10,131072,20265
17,17,0,1,800768,3,4,1,131072,127949
17,17,0,1,800768,3,4,2,131072,69120.3
17,17,0,1,800768,3,4,3,131072,38502.4
17,17,0,1,800768,3,4,4,131072,26327
17,17,0,1,800768,3,4,5,131072,18616.6
17,17,0,1,800768,3,4,6,131072,20162.6
17,17,0,1,800768,3,4,7,131072,18575.4
17,17,0,1,800768,3,4,8,131072,18995.2
17,17,0,1,800768,3,4,9,131072,18657.3
17,17,0,1,800768,3,4,10,131072,20285.4
17,17,0,1,800768,3,8,1,131072,76943.4
17,17,0,1,800768,3,8,2,131072,42291.5
17,17,0,1,800768,3,8,3,131072,25548.8
17,17,0,1,800768,3,8,4,131072,21350.4
17,17,0,1,800768,3,8,5,131072,19486.7
17,17,0,1,800768,3,8,6,131072,19763.2
17,17,0,1,800768,3,8,7,131072,24084.5
17,17,0,1,800768,3,8,8,131072,20326.4
17,17,0,1,800768,3,8,9,131072,21626.9
17,17,0,1,800768,3,8,10,131072,22855.7
17,17,0,1,800768,3,16,1,131072,57835.2
17,17,0,1,800768,3,16,2,131072,33658.6
17,17,0,1,800768,3,16,3,131072,22272
17,17,0,1,800768,3,16,4,131072,19527.7
17,17,0,1,800768,3,16,5,131072,18544.6
17,17,0,1,800768,3,16,6,131072,18012.5
17,17,0,1,800768,3,16,7,131072,18278.4
17,17,0,1,800768,3,16,8,131072,19578.9
17,17,0,1,800768,3,16,9,131072,21504
17,17,0,1,800768,3,16,10,0,0
17,17,0,1,800768,3,32,1,131072,54425.3
17,17,0,1,800768,3,32,2,131072,31979.5
17,17,0,1,800768,3,32,3,131072,26593.3
17,17,0,1,800768,3,32,4,131072,25671.7
17,17,0,1,800768,3,32,5,131072,28764.2
17,17,0,1,800768,3,32,6,131072,22773.8
17,17,0,1,800768,3,32,7,131072,24873.6
17,17,0,1,800768,3,32,8,131072,27525.4
17,17,0,1,800768,3,32,9,0,0
17,17,0,1,800768,3,32,10,0,0
17,17,0,1,800768,3,64,1,131072,53114.9
17,17,0,1,800768,3,64,2,131072,31979.2
17,17,0,1,800768,3,64,3,131072,26153.3
17,17,0,1,800768,3,64,4,131072,23121.9
17,17,0,1,800768,3,64,5,131072,22353.9
17,17,0,1,800768,3,64,6,131072,25313.3
17,17,0,1,800768,3,64,7,131072,26746.6
17,17,0,1,800768,3,64,8,0,0
17,17,0,1,800768,3,64,9,0,0
17,17,0,1,800768,3,64,10,0,0
17,17,0,1,800768,3,128,1,131072,73185
17,17,0,1,800768,3,128,2,131072,51046.4
17,17,0,1,800768,3,128,3,131072,37908.5
17,17,0,1,800768,3,128,4,131072,36782.1
17,17,0,1,800768,3,128,5,131072,47154.9
17,17,0,1,800768,3,128,6,131072,47585.3
17,17,0,1,800768,3,128,7,0,0
17,17,0,1,800768,3,128,8,0,0
17,17,0,1,800768,3,128,9,0,0
17,17,0,1,800768,3,128,10,0,0
17,17,0,1,800768,3,256,1,131072,76718.1
17,17,0,1,800768,3,256,2,131072,44953.6
17,17,0,1,800768,3,256,3,131072,38103
17,17,0,1,800768,3,256,4,131072,51507.2
17,17,0,1,800768,3,256,5,131072,63836.2
17,17,0,1,800768,3,256,6,0,0
17,17,0,1,800768,3,256,7,0,0
17,17,0,1,800768,3,256,8,0,0
17,17,0,1,800768,3,256,9,0,0
17,17,0,1,800768,3,512,1,131072,77097
17,17,0,1,800768,3,512,2,131072,54230.7
17,17,0,1,800768,3,512,3,131072,75499.2
17,17,0,1,800768,3,512,4,131072,88647.7
17,17,0,1,800768,3,512,5,0,0
17,17,0,1,800768,3,512,6,0,0
17,17,0,1,800768,3,512,7,0,0
17,17,0,1,800768,3,512,8,0,0
18,18,0,1,1460000,0,1,1,262144,888893
18,18,0,1,1460000,0,1,2,262144,367739
18,18,0,1,1460000,0,1,3,262144,186532
18,18,0,1,1460000,0,1,4,262144,85678.1
18,18,0,1,1460000,0,1,5,262144,49141.8
18,18,0,1,1460000,0,1,6,262387,51497
18,18,0,1,1460000,0,1,7,262307,48711.7
18,18,0,1,1460000,0,1,8,262131,49489.9
18,18,0,1,1460000,0,1,9,262132,51814.4
18,18,0,1,1460000,0,1,10,262109,59381.8
18,18,0,1,1460000,1,2,1,262144,440034
18,18,0,1,1460000,1,2,2,262144,219945
18,18,0,1,1460000,1,2,3,262144,92723.2
18,18,0,1,1460000,1,2,4,262144,57067.5
18,18,0,1,1460000,1,2,5,262144,49766.4
18,18,0,1,1460000,1,2,6,262219,45854.7
18,18,0,1,1460000,1,2,7,262122,46653.4
18,18,0,1,1460000,1,2,8,262167,44810.2
18,18,0,1,1460000,1,2,9,262101,46090.2
18,18,0,1,1460000,1,2,10,262121,51486.7
18,18,0,1,1460000,1,4,1,262144,227430
18,18,0,1,1460000,1,4,2,262144,95170.9
18,18,0,1,1460000,1,4,3,262144,59340.8
18,18,0,1,1460000,1,4,4,262144,49879
18,18,0,1,1460000,1,4,5,262144,46602.2
18,18,0,1,1460000,1,4,6,261102,43694.1
18,18,0,1,1460000,1,4,7,262679,45230.1
18,18,0,1,1460000,1,4,8,262217,48926.7
18,18,0,1,1460000,1,4,9,262709,44810.2
18,18,0,1,1460000,1,4,10,262141,46807
18,18,0,1,1460000,1,8,1,262144,100516
18,18,0,1,1460000,1,8,2,262144,62863.4
18,18,0,1,1460000,1,8,3,262144,52684.8
18,18,0,1,1460000,1,8,4,262144,48650.2
18,18,0,1,1460000,1,8,5,262144,48219.8
18,18,0,1,1460000,1,8,6,261446,46786.2
18,18,0,1,1460000,1,8,7,263139,47165.4
18,18,0,1,1460000,1,8,8,263076,47913
18,18,0,1,1460000,1,8,9,262893,50329.9
18,18,0,1,1460000,1,8,10,262125,51589.1
18,18,0,1,1460000,1,16,1,262144,78121.3
18,18,0,1,1460000,1,16,2,262144,58716.2
18,18,0,1,1460000,1,16,3,262144,48834.6
18,18,0,1,1460000,1,16,4,262144,48844.8
18,18,0,1,1460000,1,16,5,262144,53207
18,18,0,1,1460000,1,16,6,262144,59596.8
18,18,0,1,1460000,1,16,7,262326,47759
18,18,0,1,1460000,1,16,8,263063,51845.4
