InputSize	GroupSize	Distribution	resultSize	PSTime	Variant	Intent	localSize	Aggregate	AggTime
20	0	0	1	7.22914e+06	0	1	1	1048576	1.46516e+07
20	0	0	1	7.22914e+06	0	1	2	1048576	1.50517e+07
20	0	0	1	7.22914e+06	0	1	3	1048576	1.23783e+07
20	0	0	1	7.22914e+06	0	1	4	1048576	9.80009e+06
20	0	0	1	7.22914e+06	0	1	5	1048576	1.21819e+07
20	0	0	1	7.22914e+06	0	1	6	1048576	1.42714e+07
20	0	0	1	7.22914e+06	0	1	7	1048576	1.17673e+07
20	0	0	1	7.22914e+06	0	1	8	1048576	1.04097e+07
20	0	0	1	7.22914e+06	0	1	9	1048576	1.22319e+07
20	0	0	1	7.22914e+06	0	1	10	1048576	1.11625e+07
20	0	0	1	7.22914e+06	1	2	1	1048576	1.45432e+07
20	0	0	1	7.22914e+06	1	2	2	1048576	1.35696e+07
20	0	0	1	7.22914e+06	1	2	3	1048576	1.13155e+07
20	0	0	1	7.22914e+06	1	2	4	1048576	1.13105e+07
20	0	0	1	7.22914e+06	1	2	5	1048576	1.12181e+07
20	0	0	1	7.22914e+06	1	2	6	1048576	1.31396e+07
20	0	0	1	7.22914e+06	1	2	7	1048576	1.2632e+07
20	0	0	1	7.22914e+06	1	2	8	1048576	1.2043e+07
20	0	0	1	7.22914e+06	1	2	9	1048576	1.21518e+07
20	0	0	1	7.22914e+06	1	2	10	1048576	1.02002e+07
20	0	0	1	7.22914e+06	1	4	1	1048576	1.51462e+07
20	0	0	1	7.22914e+06	1	4	2	1048576	1.12767e+07
20	0	0	1	7.22914e+06	1	4	3	1048576	1.24681e+07
20	0	0	1	7.22914e+06	1	4	4	1048576	1.22096e+07
20	0	0	1	7.22914e+06	1	4	5	1048576	1.04794e+07
20	0	0	1	7.22914e+06	1	4	6	1048576	1.06496e+07
20	0	0	1	7.22914e+06	1	4	7	1048576	1.12545e+07
20	0	0	1	7.22914e+06	1	4	8	1048576	1.36237e+07
20	0	0	1	7.22914e+06	1	4	9	1048576	1.18101e+07
20	0	0	1	7.22914e+06	1	4	10	1048576	1.41139e+07
20	0	0	1	7.22914e+06	1	8	1	1048576	1.12269e+07
20	0	0	1	7.22914e+06	1	8	2	1048576	1.03479e+07
20	0	0	1	7.22914e+06	1	8	3	1048576	1.14808e+07
20	0	0	1	7.22914e+06	1	8	4	1048576	1.14841e+07
20	0	0	1	7.22914e+06	1	8	5	1048576	1.25395e+07
20	0	0	1	7.22914e+06	1	8	6	1048576	1.19846e+07
20	0	0	1	7.22914e+06	1	8	7	1048576	9.84909e+06
20	0	0	1	7.22914e+06	1	8	8	1048576	1.27258e+07
20	0	0	1	7.22914e+06	1	8	9	1048576	1.22493e+07
20	0	0	1	7.22914e+06	1	8	10	1048576	1.27907e+07
20	0	0	1	7.22914e+06	1	16	1	1048576	1.41537e+07
20	0	0	1	7.22914e+06	1	16	2	1048576	1.29463e+07
20	0	0	1	7.22914e+06	1	16	3	1048576	1.28372e+07
20	0	0	1	7.22914e+06	1	16	4	1048576	1.11101e+07
20	0	0	1	7.22914e+06	1	16	5	1048576	1.17191e+07
20	0	0	1	7.22914e+06	1	16	6	1048576	1.58669e+07
20	0	0	1	7.22914e+06	1	16	7	1048576	1.21794e+07
20	0	0	1	7.22914e+06	1	16	8	1048576	1.07219e+07
20	0	0	1	7.22914e+06	1	16	9	1048576	1.0343e+07
20	0	0	1	7.22914e+06	1	16	10	1048576	1.07122e+07
20	0	0	1	7.22914e+06	1	32	1	1048576	9.30003e+06
20	0	0	1	7.22914e+06	1	32	2	1048576	1.42634e+07
20	0	0	1	7.22914e+06	1	32	3	1048576	1.25928e+07
20	0	0	1	7.22914e+06	1	32	4	1048576	1.30586e+07
20	0	0	1	7.22914e+06	1	32	5	1048576	1.26444e+07
20	0	0	1	7.22914e+06	1	32	6	1048576	1.37794e+07
20	0	0	1	7.22914e+06	1	32	7	1048576	1.31459e+07
20	0	0	1	7.22914e+06	1	32	8	1048576	1.06006e+07
20	0	0	1	7.22914e+06	1	32	9	1048576	1.21455e+07
20	0	0	1	7.22914e+06	1	32	10	1048576	1.10821e+07
20	0	0	1	7.22914e+06	1	64	1	1048576	1.09755e+07
20	0	0	1	7.22914e+06	1	64	2	1048576	1.09624e+07
20	0	0	1	7.22914e+06	1	64	3	1048576	1.5077e+07
20	0	0	1	7.22914e+06	1	64	4	1048576	1.53905e+07
20	0	0	1	7.22914e+06	1	64	5	1048576	1.32132e+07
20	0	0	1	7.22914e+06	1	64	6	1048576	1.14107e+07
20	0	0	1	7.22914e+06	1	64	7	1048576	1.29533e+07
