InputSize	GroupSize	Distribution	resultSize	PSTime	Variant	Intent	localSize	Aggregate	AggTime
17	17	0	1	3.18333e+06	0	1	1	131072	3.59613e+06
17	17	0	1	3.18333e+06	0	1	2	131072	2.23499e+06
17	17	0	1	3.18333e+06	0	1	3	131072	1.56353e+06
17	17	0	1	3.18333e+06	0	1	4	131072	1.56351e+06
17	17	0	1	3.18333e+06	0	1	5	131072	1.5278e+06
17	17	0	1	3.18333e+06	0	1	6	131072	1.48934e+06
17	17	0	1	3.18333e+06	0	1	7	131072	1.48929e+06
17	17	0	1	3.18333e+06	0	1	8	131072	1.48972e+06
17	17	0	1	3.18333e+06	0	1	9	131072	1.49e+06
17	17	0	1	3.18333e+06	0	1	10	131072	1.48986e+06
17	17	0	1	3.18333e+06	1	2	1	131072	2.0771e+06
17	17	0	1	3.18333e+06	1	2	2	131072	1.52672e+06
17	17	0	1	3.18333e+06	1	2	3	131072	1.4898e+06
17	17	0	1	3.18333e+06	1	2	4	131072	1.4898e+06
17	17	0	1	3.18333e+06	1	2	5	131072	1.4899e+06
17	17	0	1	3.18333e+06	1	2	6	131072	1.48996e+06
17	17	0	1	3.18333e+06	1	2	7	131072	1.49015e+06
17	17	0	1	3.18333e+06	1	2	8	131072	1.4905e+06
17	17	0	1	3.18333e+06	1	2	9	131072	1.49034e+06
17	17	0	1	3.18333e+06	1	2	10	131072	1.49017e+06
17	17	0	1	3.18333e+06	1	4	1	131072	1.56241e+06
17	17	0	1	3.18333e+06	1	4	2	131072	1.48985e+06
17	17	0	1	3.18333e+06	1	4	3	131072	1.48982e+06
17	17	0	1	3.18333e+06	1	4	4	131072	1.48987e+06
17	17	0	1	3.18333e+06	1	4	5	131072	1.49088e+06
17	17	0	1	3.18333e+06	1	4	6	131072	1.49209e+06
17	17	0	1	3.18333e+06	1	4	7	131072	1.49252e+06
17	17	0	1	3.18333e+06	1	4	8	131072	1.49272e+06
17	17	0	1	3.18333e+06	1	4	9	131072	1.50638e+06
17	17	0	1	3.18333e+06	1	4	10	131072	1.49255e+06
17	17	0	1	3.18333e+06	1	8	1	131072	1.49201e+06
17	17	0	1	3.18333e+06	1	8	2	131072	1.49144e+06
17	17	0	1	3.18333e+06	1	8	3	131072	1.49157e+06
17	17	0	1	3.18333e+06	1	8	4	131072	1.49172e+06
17	17	0	1	3.18333e+06	1	8	5	131072	1.49244e+06
17	17	0	1	3.18333e+06	1	8	6	131072	1.49244e+06
17	17	0	1	3.18333e+06	1	8	7	131072	1.49315e+06
17	17	0	1	3.18333e+06	1	8	8	131072	1.49318e+06
17	17	0	1	3.18333e+06	1	8	9	131072	1.49307e+06
17	17	0	1	3.18333e+06	1	8	10	131072	1.49503e+06
17	17	0	1	3.18333e+06	1	16	1	131072	1.49554e+06
17	17	0	1	3.18333e+06	1	16	2	131072	1.49546e+06
17	17	0	1	3.18333e+06	1	16	3	131072	1.49546e+06
17	17	0	1	3.18333e+06	1	16	4	131072	1.49569e+06
17	17	0	1	3.18333e+06	1	16	5	131072	1.49635e+06
17	17	0	1	3.18333e+06	1	16	6	131072	1.4969e+06
17	17	0	1	3.18333e+06	1	16	7	131072	1.49767e+06
17	17	0	1	3.18333e+06	1	16	8	131072	1.49771e+06
17	17	0	1	3.18333e+06	1	16	9	131072	1.49775e+06
17	17	0	1	3.18333e+06	1	16	10	131072	1.504e+06
17	17	0	1	3.18333e+06	1	32	1	131072	1.49412e+06
17	17	0	1	3.18333e+06	1	32	2	131072	1.49381e+06
17	17	0	1	3.18333e+06	1	32	3	131072	1.49453e+06
17	17	0	1	3.18333e+06	1	32	4	131072	1.49783e+06
17	17	0	1	3.18333e+06	1	32	5	131072	1.49925e+06
17	17	0	1	3.18333e+06	1	32	6	131072	1.49836e+06
17	17	0	1	3.18333e+06	1	32	7	131072	1.5044e+06
17	17	0	1	3.18333e+06	1	32	8	131072	1.50689e+06
17	17	0	1	3.18333e+06	1	32	9	131072	1.50696e+06
17	17	0	1	3.18333e+06	1	32	10	131072	1.51112e+06
17	17	0	1	3.18333e+06	1	64	1	131072	1.49421e+06
17	17	0	1	3.18333e+06	1	64	2	131072	1.49399e+06
17	17	0	1	3.18333e+06	1	64	3	131072	1.49692e+06
17	17	0	1	3.18333e+06	1	64	4	131072	1.50315e+06
17	17	0	1	3.18333e+06	1	64	5	131072	1.50353e+06
17	17	0	1	3.18333e+06	1	64	6	131072	1.49817e+06
17	17	0	1	3.18333e+06	1	64	7	131072	1.50167e+06
17	17	0	1	3.18333e+06	1	64	8	131072	1.50126e+06
17	17	0	1	3.18333e+06	1	64	9	131072	1.50124e+06
17	17	0	1	3.18333e+06	1	64	10	131072	1.50357e+06
17	17	0	1	3.18333e+06	1	128	1	131072	1.49394e+06
17	17	0	1	3.18333e+06	1	128	2	131072	1.49642e+06
17	17	0	1	3.18333e+06	1	128	3	131072	1.49856e+06
17	17	0	1	3.18333e+06	1	128	4	131072	1.51187e+06
17	17	0	1	3.18333e+06	1	128	5	131072	1.50111e+06
17	17	0	1	3.18333e+06	1	128	6	131072	1.49846e+06
