ColumnName	GroupSize	PSTime	Variant	TotalSize	Intent	GlobalSize	localSize	Aggregate	AggTime
p_partkey	16384	271360	0	16384	1	16384	2	1	46899.2
p_partkey	16384	271360	0	16384	1	16384	4	1	25292.8
p_partkey	16384	271360	0	16384	1	16384	8	1	18124.8
p_partkey	16384	271360	0	16384	1	16384	16	1	10956.8
p_partkey	16384	271360	0	16384	1	16384	32	1	9219.2
p_partkey	16384	271360	0	16384	1	16384	64	1	9932.8
p_partkey	16384	271360	0	16384	1	16384	128	1	9523.2
p_partkey	16384	271360	0	16384	1	16384	256	1	9216
p_partkey	16384	271360	0	16384	1	16384	512	1	12083.2
p_partkey	16384	271360	0	16384	1	16384	1024	1	7372.8
p_partkey	16384	271360	1	16384	2	8192	2	1	29593.6
p_partkey	16384	271360	1	16384	2	8192	4	1	19968
p_partkey	16384	271360	1	16384	2	8192	8	1	158310
p_partkey	16384	271360	1	16384	2	8192	16	1	11161.6
p_partkey	16384	271360	1	16384	2	8192	32	1	10752
p_partkey	16384	271360	1	16384	2	8192	64	1	10035.2
p_partkey	16384	271360	1	16384	2	8192	128	1	9932.8
p_partkey	16384	271360	1	16384	2	8192	256	1	9113.6
p_partkey	16384	271360	1	16384	2	8192	512	1	9728
p_partkey	16384	271360	1	16384	2	8192	1024	1	12185.6
p_partkey	16384	271360	1	16384	4	4096	2	1	21196.8
p_partkey	16384	271360	1	16384	4	4096	4	1	16691.2
p_partkey	16384	271360	1	16384	4	4096	8	1	9830.4
p_partkey	16384	271360	1	16384	4	4096	16	1	8396.8
p_partkey	16384	271360	1	16384	4	4096	32	1	7168
p_partkey	16384	271360	1	16384	4	4096	64	1	7680
p_partkey	16384	271360	1	16384	4	4096	128	1	7782.4
p_partkey	16384	271360	1	16384	4	4096	256	1	7782.4
p_partkey	16384	271360	1	16384	4	4096	512	1	8089.6
p_partkey	16384	271360	1	16384	4	4096	1024	1	8396.8
p_partkey	16384	271360	1	16384	8	2048	2	1	18227.2
p_partkey	16384	271360	1	16384	8	2048	4	1	12083.2
p_partkey	16384	271360	1	16384	8	2048	8	1	10649.6
p_partkey	16384	271360	1	16384	8	2048	16	1	8806.4
p_partkey	16384	271360	1	16384	8	2048	32	1	9932.8
p_partkey	16384	271360	1	16384	8	2048	64	1	9728
p_partkey	16384	271360	1	16384	8	2048	128	1	8908.8
p_partkey	16384	271360	1	16384	8	2048	256	1	9932.8
p_partkey	16384	271360	1	16384	8	2048	512	1	10137.6
p_partkey	16384	271360	1	16384	8	2048	1024	1	14131.2
p_partkey	16384	271360	1	16384	16	1024	2	1	17203.2
p_partkey	16384	271360	1	16384	16	1024	4	1	13107.2
p_partkey	16384	271360	1	16384	16	1024	8	1	21094.4
p_partkey	16384	271360	1	16384	16	1024	16	1	10547.2
p_partkey	16384	271360	1	16384	16	1024	32	1	10547.2
p_partkey	16384	271360	1	16384	16	1024	64	1	10342.4
p_partkey	16384	271360	1	16384	16	1024	128	1	11369.6
p_partkey	16384	271360	1	16384	16	1024	256	1	11059.2
p_partkey	16384	271360	1	16384	16	1024	512	1	16384
p_partkey	16384	271360	1	16384	16	1024	1024	1	26931.2
p_partkey	16384	271360	1	16384	32	512	2	1	18227.2
p_partkey	16384	271360	1	16384	32	512	4	1	12185.6
p_partkey	16384	271360	1	16384	32	512	8	1	11776
p_partkey	16384	271360	1	16384	32	512	16	1	12492.8
p_partkey	16384	271360	1	16384	32	512	32	1	13414.4
p_partkey	16384	271360	1	16384	32	512	64	1	13209.6
p_partkey	16384	271360	1	16384	32	512	128	1	13312
p_partkey	16384	271360	1	16384	32	512	256	1	15564.8
p_partkey	16384	271360	1	16384	32	512	512	1	24473.6
p_partkey	16384	271360	1	16384	64	256	2	1	18432
p_partkey	16384	271360	1	16384	64	256	4	1	17612.8
p_partkey	16384	271360	1	16384	64	256	8	1	18022.4
p_partkey	16384	271360	1	16384	64	256	16	1	18739.2
p_partkey	16384	271360	1	16384	64	256	32	1	20275.2
p_partkey	16384	271360	1	16384	64	256	64	1	20480
p_partkey	16384	271360	1	16384	64	256	128	1	20070.4
p_partkey	16384	271360	1	16384	64	256	256	1	26009.6
p_partkey	16384	271360	1	16384	128	128	2	1	28672
p_partkey	16384	271360	1	16384	128	128	4	1	28774.4
p_partkey	16384	271360	1	16384	128	128	8	1	30003.2
p_partkey	16384	271360	1	16384	128	128	16	1	31129.6
p_partkey	16384	271360	1	16384	128	128	32	1	33996.8
p_partkey	16384	271360	1	16384	128	128	64	1	33382.4
p_partkey	16384	271360	1	16384	128	128	128	1	33177.6
p_partkey	16384	271360	1	16384	256	64	2	1	52633.6
p_partkey	16384	271360	1	16384	256	64	4	1	51404.8
p_partkey	16384	271360	1	16384	256	64	8	1	53452.8
p_partkey	16384	271360	1	16384	256	64	16	1	56012.8
p_partkey	16384	271360	1	16384	256	64	32	1	61644.8
p_partkey	16384	271360	1	16384	256	64	64	1	60723.2
p_partkey	16384	271360	1	16384	512	32	2	1	95846.4
